Name,Address,Description
Oz New Orleans,"800 Bourbon St, New Orleans, LA 70116",NIGHTLIFE · Dance Club · Sunday night · no cover before 10pm · drag shows · dance floor
Café Lafitte in Exile,"901 Bourbon St, New Orleans, LA 70116",NIGHTLIFE · Bar/Drag · Sunday night · oldest gay bar in America · no cover ever
Bayou Bar — Pontchartrain Hotel,"2031 St Charles Ave, New Orleans, LA 70130",NIGHTLIFE · Jazz Bar · Monday nightcap · 7 min walk from Airbnb · dark + live jazz
Frenchmen Street,"600 Frenchmen St, New Orleans, LA 70116",NIGHTLIFE · Live Music Strip · any night · live jazz · no cover · multiple venues
The Spotted Cat Music Club,"623 Frenchmen St, New Orleans, LA 70116",NIGHTLIFE · Jazz Club · Grace rec · KASSIE PICK: jazz #4 · 4.7★ · no cover
DBA New Orleans,"618 Frenchmen St, New Orleans, LA 70116",NIGHTLIFE · Live Music Bar · Grace rec · Frenchmen St · 4.6★
Gasa Gasa,"4920 Magazine St, New Orleans, LA 70115",NIGHTLIFE · Live Music Bar · Grace rec · Magazine St · local favorite
Balcony Bar & Kitchen,"1522 Magazine St, New Orleans, LA 70130",NIGHTLIFE · Bar/Balcony · Grace rec · Magazine St · casual
The Delachaise Wine Bar,"3827 St Charles Ave, New Orleans, LA 70115",NIGHTLIFE · Wine Bar · Grace rec · St Charles Ave · intimate
Columns Hotel Bar,"3811 St Charles Ave, New Orleans, LA 70115",NIGHTLIFE · Hotel Bar · Grace rec · St Charles Ave · beautiful porch
Verret's Lounge,"1738 Washington Ave, New Orleans, LA 70113",NIGHTLIFE · Neighborhood Bar · Grace rec · near Airbnb · low-key
